layer,state,run
9,2,31
9,2,32
9,2,33
9,3,31
9,4,31
9,5,31
9,6,31
9,7,31
9,8,31
9,9,31
9,10,31
9,11,31
9,12,31
9,13,31
9,14,31
9,15,31
9,16,31
9,17,31
9,18,31
9,19,31
5,2,31
5,2,32
5,2,33
5,3,31
5,4,31
5,5,31
5,6,31
5,7,31
5,8,31
5,9,31
11,2,31
11,2,32
11,2,33
11,3,31
11,4,31
11,5,31
11,6,31
11,7,31
11,8,31
11,9,31
