layer,state,run
9,2,21
9,2,22
9,2,23
9,3,21
9,4,21
9,5,21
9,6,21
9,7,21
9,8,21
9,9,21
9,10,21
9,11,21
9,12,21
9,13,21
9,14,21
9,15,21
9,16,21
9,17,21
9,18,21
9,19,21
5,2,21
5,2,22
5,2,23
5,3,21
5,4,21
5,5,21
5,6,21
5,7,21
5,8,21
5,9,21
11,2,21
11,2,22
11,2,23
11,3,21
11,4,21
11,5,21
11,6,21
11,7,21
11,8,21
11,9,21
